variant,split,image_id,source_image,image,label,blur_parameters
gaussian_blur,train,img_ca2bf5e703b6b876fb53,train/images/10457_png.rf.JywVEnYGq53UA23W0x8F.png,detector_data/gaussian_blur/train/images/img_ca2bf5e703b6b876fb53.png,detector_data/gaussian_blur/train/labels/img_ca2bf5e703b6b876fb53.txt,"{""defocus_radius_px"": 5, ""gaussian_sigma_px"": 5.758050009603705, ""motion_angle_deg"": 31.548482775482714, ""motion_length_px"": 15}"
clean,train,img_2bc5e785fd9736c6a116,train/images/106-jpg_jpg.rf.N4nLBxEI5Dlp78T8puG7.jpg,detector_data/clean/train/images/img_2bc5e785fd9736c6a116.png,detector_data/clean/train/labels/img_2bc5e785fd9736c6a116.txt,{}
motion_blur,train,img_2bc5e785fd9736c6a116,train/images/106-jpg_jpg.rf.N4nLBxEI5Dlp78T8puG7.jpg,detector_data/motion_blur/train/images/img_2bc5e785fd9736c6a116.png,detector_data/motion_blur/train/labels/img_2bc5e785fd9736c6a116.txt,"{""defocus_radius_px"": 17, ""gaussian_sigma_px"": 8.0, ""motion_angle_deg"": 120.0652156267823, ""motion_length_px"": 43}"
defocus_blur,train,img_2bc5e785fd9736c6a116,train/images/106-jpg_jpg.rf.N4nLBxEI5Dlp78T8puG7.jpg,detector_data/defocus_blur/train/images/img_2bc5e785fd9736c6a116.png,detector_data/defocus_blur/train/labels/img_2bc5e785fd9736c6a116.txt,"{""defocus_radius_px"": 17, ""gaussian_sigma_px"": 8.0, ""motion_angle_deg"": 120.0652156267823, ""motion_length_px"": 43}"
gaussian_blur,train,img_2bc5e785fd9736c6a116,train/images/106-jpg_jpg.rf.N4nLBxEI5Dlp78T8puG7.jpg,detector_data/gaussian_blur/train/images/img_2bc5e785fd9736c6a116.png,detector_data/gaussian_blur/train/labels/img_2bc5e785fd9736c6a116.txt,"{""defocus_radius_px"": 17, ""gaussian_sigma_px"": 8.0, ""motion_angle_deg"": 120.0652156267823, ""motion_length_px"": 43}"
clean,train,img_d1dbe442bdc647af42ed,train/images/10646_png.rf.ki7Rfa34DFwJ8oWHl3c6.png,detector_data/clean/train/images/img_d1dbe442bdc647af42ed.png,detector_data/clean/train/labels/img_d1dbe442bdc647af42ed.txt,{}
motion_blur,train,img_d1dbe442bdc647af42ed,train/images/10646_png.rf.ki7Rfa34DFwJ8oWHl3c6.png,detector_data/motion_blur/train/images/img_d1dbe442bdc647af42ed.png,detector_data/motion_blur/train/labels/img_d1dbe442bdc647af42ed.txt,"{""defocus_radius_px"": 5, ""gaussian_sigma_px"": 4.53196158759409, ""motion_angle_deg"": 70.54115108537421, ""motion_length_px"": 17}"
defocus_blur,train,img_d1dbe442bdc647af42ed,train/images/10646_png.rf.ki7Rfa34DFwJ8oWHl3c6.png,detector_data/defocus_blur/train/images/img_d1dbe442bdc647af42ed.png,detector_data/defocus_blur/train/labels/img_d1dbe442bdc647af42ed.txt,"{""defocus_radius_px"": 5, ""gaussian_sigma_px"": 4.53196158759409, ""motion_angle_deg"": 70.54115108537421, ""motion_length_px"": 17}"
gaussian_blur,train,img_d1dbe442bdc647af42ed,train/images/10646_png.rf.ki7Rfa34DFwJ8oWHl3c6.png,detector_data/gaussian_blur/train/images/img_d1dbe442bdc647af42ed.png,detector_data/gaussian_blur/train/labels/img_d1dbe442bdc647af42ed.txt,"{""defocus_radius_px"": 5, ""gaussian_sigma_px"": 4.53196158759409, ""motion_angle_deg"": 70.54115108537421, ""motion_length_px"": 17}"
clean,train,img_ca7e6a059c91dbf79a11,train/images/106_jpg.rf.qi6zpNE5wgM9cyuTMt6s.jpg,detector_data/clean/train/images/img_ca7e6a059c91dbf79a11.png,detector_data/clean/train/labels/img_ca7e6a059c91dbf79a11.txt,{}
motion_blur,train,img_ca7e6a059c91dbf79a11,train/images/106_jpg.rf.qi6zpNE5wgM9cyuTMt6s.jpg,detector_data/motion_blur/train/images/img_ca7e6a059c91dbf79a11.png,detector_data/motion_blur/train/labels/img_ca7e6a059c91dbf79a11.txt,"{""defocus_radius_px"": 5, ""gaussian_sigma_px"": 2.8141973364590607, ""motion_angle_deg"": 98.86678175930304, ""motion_length_px"": 17}"
defocus_blur,train,img_ca7e6a059c91dbf79a11,train/images/106_jpg.rf.qi6zpNE5wgM9cyuTMt6s.jpg,detector_data/defocus_blur/train/images/img_ca7e6a059c91dbf79a11.png,detector_data/defocus_blur/train/labels/img_ca7e6a059c91dbf79a11.txt,"{""defocus_radius_px"": 5, ""gaussian_sigma_px"": 2.8141973364590607, ""motion_angle_deg"": 98.86678175930304, ""motion_length_px"": 17}"
gaussian_blur,train,img_ca7e6a059c91dbf79a11,train/images/106_jpg.rf.qi6zpNE5wgM9cyuTMt6s.jpg,detector_data/gaussian_blur/train/images/img_ca7e6a059c91dbf79a11.png,detector_data/gaussian_blur/train/labels/img_ca7e6a059c91dbf79a11.txt,"{""defocus_radius_px"": 5, ""gaussian_sigma_px"": 2.8141973364590607, ""motion_angle_deg"": 98.86678175930304, ""motion_length_px"": 17}"
clean,train,img_7da019bc71a082821b53,train/images/1070_png.rf.mZ3eoNCkNM4GpR9B1VdV.png,detector_data/clean/train/images/img_7da019bc71a082821b53.png,detector_data/clean/train/labels/img_7da019bc71a082821b53.txt,{}
motion_blur,train,img_7da019bc71a082821b53,train/images/1070_png.rf.mZ3eoNCkNM4GpR9B1VdV.png,detector_data/motion_blur/train/images/img_7da019bc71a082821b53.png,detector_data/motion_blur/train/labels/img_7da019bc71a082821b53.txt,"{""defocus_radius_px"": 6, ""gaussian_sigma_px"": 5.111332092838924, ""motion_angle_deg"": 6.667194945590122, ""motion_length_px"": 13}"
defocus_blur,train,img_7da019bc71a082821b53,train/images/1070_png.rf.mZ3eoNCkNM4GpR9B1VdV.png,detector_data/defocus_blur/train/images/img_7da019bc71a082821b53.png,detector_data/defocus_blur/train/labels/img_7da019bc71a082821b53.txt,"{""defocus_radius_px"": 6, ""gaussian_sigma_px"": 5.111332092838924, ""motion_angle_deg"": 6.667194945590122, ""motion_length_px"": 13}"
gaussian_blur,train,img_7da019bc71a082821b53,train/images/1070_png.rf.mZ3eoNCkNM4GpR9B1VdV.png,detector_data/gaussian_blur/train/images/img_7da019bc71a082821b53.png,detector_data/gaussian_blur/train/labels/img_7da019bc71a082821b53.txt,"{""defocus_radius_px"": 6, ""gaussian_sigma_px"": 5.111332092838924, ""motion_angle_deg"": 6.667194945590122, ""motion_length_px"": 13}"
clean,train,img_089d2e041bf1eb650ee7,train/images/107_jpg.rf.ADsn04cMBAOuglDziBy0.jpg,detector_data/clean/train/images/img_089d2e041bf1eb650ee7.png,detector_data/clean/train/labels/img_089d2e041bf1eb650ee7.txt,{}
motion_blur,train,img_089d2e041bf1eb650ee7,train/images/107_jpg.rf.ADsn04cMBAOuglDziBy0.jpg,detector_data/motion_blur/train/images/img_089d2e041bf1eb650ee7.png,detector_data/motion_blur/train/labels/img_089d2e041bf1eb650ee7.txt,"{""defocus_radius_px"": 7, ""gaussian_sigma_px"": 4.4756034553277955, ""motion_angle_deg"": 18.595519260523538, ""motion_length_px"": 19}"
defocus_blur,train,img_089d2e041bf1eb650ee7,train/images/107_jpg.rf.ADsn04cMBAOuglDziBy0.jpg,detector_data/defocus_blur/train/images/img_089d2e041bf1eb650ee7.png,detector_data/defocus_blur/train/labels/img_089d2e041bf1eb650ee7.txt,"{""defocus_radius_px"": 7, ""gaussian_sigma_px"": 4.4756034553277955, ""motion_angle_deg"": 18.595519260523538, ""motion_length_px"": 19}"
gaussian_blur,train,img_089d2e041bf1eb650ee7,train/images/107_jpg.rf.ADsn04cMBAOuglDziBy0.jpg,detector_data/gaussian_blur/train/images/img_089d2e041bf1eb650ee7.png,detector_data/gaussian_blur/train/labels/img_089d2e041bf1eb650ee7.txt,"{""defocus_radius_px"": 7, ""gaussian_sigma_px"": 4.4756034553277955, ""motion_angle_deg"": 18.595519260523538, ""motion_length_px"": 19}"
clean,train,img_a454629d0c6246102883,train/images/108-jpg_jpg.rf.CpZLBCczNR8IVvqrWq1f.jpg,detector_data/clean/train/images/img_a454629d0c6246102883.png,detector_data/clean/train/labels/img_a454629d0c6246102883.txt,{}
motion_blur,train,img_a454629d0c6246102883,train/images/108-jpg_jpg.rf.CpZLBCczNR8IVvqrWq1f.jpg,detector_data/motion_blur/train/images/img_a454629d0c6246102883.png,detector_data/motion_blur/train/labels/img_a454629d0c6246102883.txt,"{""defocus_radius_px"": 8, ""gaussian_sigma_px"": 8.0, ""motion_angle_deg"": 70.01354294765343, ""motion_length_px"": 31}"
defocus_blur,train,img_a454629d0c6246102883,train/images/108-jpg_jpg.rf.CpZLBCczNR8IVvqrWq1f.jpg,detector_data/defocus_blur/train/images/img_a454629d0c6246102883.png,detector_data/defocus_blur/train/labels/img_a454629d0c6246102883.txt,"{""defocus_radius_px"": 8, ""gaussian_sigma_px"": 8.0, ""motion_angle_deg"": 70.01354294765343, ""motion_length_px"": 31}"
gaussian_blur,train,img_a454629d0c6246102883,train/images/108-jpg_jpg.rf.CpZLBCczNR8IVvqrWq1f.jpg,detector_data/gaussian_blur/train/images/img_a454629d0c6246102883.png,detector_data/gaussian_blur/train/labels/img_a454629d0c6246102883.txt,"{""defocus_radius_px"": 8, ""gaussian_sigma_px"": 8.0, ""motion_angle_deg"": 70.01354294765343, ""motion_length_px"": 31}"
clean,train,img_6dc31eded49b2707bbec,train/images/108_jpg.rf.dVeQDfOv9I1xuMhp3W4h.jpg,detector_data/clean/train/images/img_6dc31eded49b2707bbec.png,detector_data/clean/train/labels/img_6dc31eded49b2707bbec.txt,{}
motion_blur,train,img_6dc31eded49b2707bbec,train/images/108_jpg.rf.dVeQDfOv9I1xuMhp3W4h.jpg,detector_data/motion_blur/train/images/img_6dc31eded49b2707bbec.png,detector_data/motion_blur/train/labels/img_6dc31eded49b2707bbec.txt,"{""defocus_radius_px"": 11, ""gaussian_sigma_px"": 8.0, ""motion_angle_deg"": 65.89510584174305, ""motion_length_px"": 41}"
defocus_blur,train,img_6dc31eded49b2707bbec,train/images/108_jpg.rf.dVeQDfOv9I1xuMhp3W4h.jpg,detector_data/defocus_blur/train/images/img_6dc31eded49b2707bbec.png,detector_data/defocus_blur/train/labels/img_6dc31eded49b2707bbec.txt,"{""defocus_radius_px"": 11, ""gaussian_sigma_px"": 8.0, ""motion_angle_deg"": 65.89510584174305, ""motion_length_px"": 41}"
gaussian_blur,train,img_6dc31eded49b2707bbec,train/images/108_jpg.rf.dVeQDfOv9I1xuMhp3W4h.jpg,detector_data/gaussian_blur/train/images/img_6dc31eded49b2707bbec.png,detector_data/gaussian_blur/train/labels/img_6dc31eded49b2707bbec.txt,"{""defocus_radius_px"": 11, ""gaussian_sigma_px"": 8.0, ""motion_angle_deg"": 65.89510584174305, ""motion_length_px"": 41}"
clean,train,img_5627fdd755e6a439446e,train/images/10970_png.rf.4rz9oSKTDiLuhZ8MF1Fz.png,detector_data/clean/train/images/img_5627fdd755e6a439446e.png,detector_data/clean/train/labels/img_5627fdd755e6a439446e.txt,{}
motion_blur,train,img_5627fdd755e6a439446e,train/images/10970_png.rf.4rz9oSKTDiLuhZ8MF1Fz.png,detector_data/motion_blur/train/images/img_5627fdd755e6a439446e.png,detector_data/motion_blur/train/labels/img_5627fdd755e6a439446e.txt,"{""defocus_radius_px"": 5, ""gaussian_sigma_px"": 5.155867613600558, ""motion_angle_deg"": 97.09079102316775, ""motion_length_px"": 15}"
defocus_blur,train,img_5627fdd755e6a439446e,train/images/10970_png.rf.4rz9oSKTDiLuhZ8MF1Fz.png,detector_data/defocus_blur/train/images/img_5627fdd755e6a439446e.png,detector_data/defocus_blur/train/labels/img_5627fdd755e6a439446e.txt,"{""defocus_radius_px"": 5, ""gaussian_sigma_px"": 5.155867613600558, ""motion_angle_deg"": 97.09079102316775, ""motion_length_px"": 15}"
gaussian_blur,train,img_5627fdd755e6a439446e,train/images/10970_png.rf.4rz9oSKTDiLuhZ8MF1Fz.png,detector_data/gaussian_blur/train/images/img_5627fdd755e6a439446e.png,detector_data/gaussian_blur/train/labels/img_5627fdd755e6a439446e.txt,"{""defocus_radius_px"": 5, ""gaussian_sigma_px"": 5.155867613600558, ""motion_angle_deg"": 97.09079102316775, ""motion_length_px"": 15}"
clean,train,img_1afc2686582a72a0cf7d,train/images/11037_png.rf.O2AiGQamelO1rW1lWoqy.png,detector_data/clean/train/images/img_1afc2686582a72a0cf7d.png,detector_data/clean/train/labels/img_1afc2686582a72a0cf7d.txt,{}
motion_blur,train,img_1afc2686582a72a0cf7d,train/images/11037_png.rf.O2AiGQamelO1rW1lWoqy.png,detector_data/motion_blur/train/images/img_1afc2686582a72a0cf7d.png,detector_data/motion_blur/train/labels/img_1afc2686582a72a0cf7d.txt,"{""defocus_radius_px"": 6, ""gaussian_sigma_px"": 4.807965416564816, ""motion_angle_deg"": 69.08426014992341, ""motion_length_px"": 13}"
defocus_blur,train,img_1afc2686582a72a0cf7d,train/images/11037_png.rf.O2AiGQamelO1rW1lWoqy.png,detector_data/defocus_blur/train/images/img_1afc2686582a72a0cf7d.png,detector_data/defocus_blur/train/labels/img_1afc2686582a72a0cf7d.txt,"{""defocus_radius_px"": 6, ""gaussian_sigma_px"": 4.807965416564816, ""motion_angle_deg"": 69.08426014992341, ""motion_length_px"": 13}"
gaussian_blur,train,img_1afc2686582a72a0cf7d,train/images/11037_png.rf.O2AiGQamelO1rW1lWoqy.png,detector_data/gaussian_blur/train/images/img_1afc2686582a72a0cf7d.png,detector_data/gaussian_blur/train/labels/img_1afc2686582a72a0cf7d.txt,"{""defocus_radius_px"": 6, ""gaussian_sigma_px"": 4.807965416564816, ""motion_angle_deg"": 69.08426014992341, ""motion_length_px"": 13}"
clean,train,img_1a2351abf97aed14419e,train/images/112-jpg_jpg.rf.z95pkiw42J3gLbdQC1zk.jpg,detector_data/clean/train/images/img_1a2351abf97aed14419e.png,detector_data/clean/train/labels/img_1a2351abf97aed14419e.txt,{}
motion_blur,train,img_1a2351abf97aed14419e,train/images/112-jpg_jpg.rf.z95pkiw42J3gLbdQC1zk.jpg,detector_data/motion_blur/train/images/img_1a2351abf97aed14419e.png,detector_data/motion_blur/train/labels/img_1a2351abf97aed14419e.txt,"{""defocus_radius_px"": 5, ""gaussian_sigma_px"": 6.106404831927036, ""motion_angle_deg"": 12.568796229626214, ""motion_length_px"": 25}"
defocus_blur,train,img_1a2351abf97aed14419e,train/images/112-jpg_jpg.rf.z95pkiw42J3gLbdQC1zk.jpg,detector_data/defocus_blur/train/images/img_1a2351abf97aed14419e.png,detector_data/defocus_blur/train/labels/img_1a2351abf97aed14419e.txt,"{""defocus_radius_px"": 5, ""gaussian_sigma_px"": 6.106404831927036, ""motion_angle_deg"": 12.568796229626214, ""motion_length_px"": 25}"
gaussian_blur,train,img_1a2351abf97aed14419e,train/images/112-jpg_jpg.rf.z95pkiw42J3gLbdQC1zk.jpg,detector_data/gaussian_blur/train/images/img_1a2351abf97aed14419e.png,detector_data/gaussian_blur/train/labels/img_1a2351abf97aed14419e.txt,"{""defocus_radius_px"": 5, ""gaussian_sigma_px"": 6.106404831927036, ""motion_angle_deg"": 12.568796229626214, ""motion_length_px"": 25}"
clean,train,img_7bc27aff7dfb630cf467,train/images/11773_png.rf.v6EfKsXRrDpf0b3XMfTi.png,detector_data/clean/train/images/img_7bc27aff7dfb630cf467.png,detector_data/clean/train/labels/img_7bc27aff7dfb630cf467.txt,{}
motion_blur,train,img_7bc27aff7dfb630cf467,train/images/11773_png.rf.v6EfKsXRrDpf0b3XMfTi.png,detector_data/motion_blur/train/images/img_7bc27aff7dfb630cf467.png,detector_data/motion_blur/train/labels/img_7bc27aff7dfb630cf467.txt,"{""defocus_radius_px"": 4, ""gaussian_sigma_px"": 3.903710636940922, ""motion_angle_deg"": 65.61895183276032, ""motion_length_px"": 15}"
defocus_blur,train,img_7bc27aff7dfb630cf467,train/images/11773_png.rf.v6EfKsXRrDpf0b3XMfTi.png,detector_data/defocus_blur/train/images/img_7bc27aff7dfb630cf467.png,detector_data/defocus_blur/train/labels/img_7bc27aff7dfb630cf467.txt,"{""defocus_radius_px"": 4, ""gaussian_sigma_px"": 3.903710636940922, ""motion_angle_deg"": 65.61895183276032, ""motion_length_px"": 15}"
gaussian_blur,train,img_7bc27aff7dfb630cf467,train/images/11773_png.rf.v6EfKsXRrDpf0b3XMfTi.png,detector_data/gaussian_blur/train/images/img_7bc27aff7dfb630cf467.png,detector_data/gaussian_blur/train/labels/img_7bc27aff7dfb630cf467.txt,"{""defocus_radius_px"": 4, ""gaussian_sigma_px"": 3.903710636940922, ""motion_angle_deg"": 65.61895183276032, ""motion_length_px"": 15}"
clean,train,img_a0ee92584cc74b17015b,train/images/118-jpg_jpg.rf.vKUU8yx3DJmt9zuFioL2.jpg,detector_data/clean/train/images/img_a0ee92584cc74b17015b.png,detector_data/clean/train/labels/img_a0ee92584cc74b17015b.txt,{}
motion_blur,train,img_a0ee92584cc74b17015b,train/images/118-jpg_jpg.rf.vKUU8yx3DJmt9zuFioL2.jpg,detector_data/motion_blur/train/images/img_a0ee92584cc74b17015b.png,detector_data/motion_blur/train/labels/img_a0ee92584cc74b17015b.txt,"{""defocus_radius_px"": 17, ""gaussian_sigma_px"": 8.0, ""motion_angle_deg"": 136.23588619917223, ""motion_length_px"": 43}"
defocus_blur,train,img_a0ee92584cc74b17015b,train/images/118-jpg_jpg.rf.vKUU8yx3DJmt9zuFioL2.jpg,detector_data/defocus_blur/train/images/img_a0ee92584cc74b17015b.png,detector_data/defocus_blur/train/labels/img_a0ee92584cc74b17015b.txt,"{""defocus_radius_px"": 17, ""gaussian_sigma_px"": 8.0, ""motion_angle_deg"": 136.23588619917223, ""motion_length_px"": 43}"
gaussian_blur,train,img_a0ee92584cc74b17015b,train/images/118-jpg_jpg.rf.vKUU8yx3DJmt9zuFioL2.jpg,detector_data/gaussian_blur/train/images/img_a0ee92584cc74b17015b.png,detector_data/gaussian_blur/train/labels/img_a0ee92584cc74b17015b.txt,"{""defocus_radius_px"": 17, ""gaussian_sigma_px"": 8.0, ""motion_angle_deg"": 136.23588619917223, ""motion_length_px"": 43}"
clean,train,img_08a0672df7b40ecae342,train/images/119-jpg_jpg.rf.boxcIZjUFEZgMY5GqNHS.jpg,detector_data/clean/train/images/img_08a0672df7b40ecae342.png,detector_data/clean/train/labels/img_08a0672df7b40ecae342.txt,{}
motion_blur,train,img_08a0672df7b40ecae342,train/images/119-jpg_jpg.rf.boxcIZjUFEZgMY5GqNHS.jpg,detector_data/motion_blur/train/images/img_08a0672df7b40ecae342.png,detector_data/motion_blur/train/labels/img_08a0672df7b40ecae342.txt,"{""defocus_radius_px"": 9, ""gaussian_sigma_px"": 7.404886027519174, ""motion_angle_deg"": 122.84501883307223, ""motion_length_px"": 21}"
defocus_blur,train,img_08a0672df7b40ecae342,train/images/119-jpg_jpg.rf.boxcIZjUFEZgMY5GqNHS.jpg,detector_data/defocus_blur/train/images/img_08a0672df7b40ecae342.png,detector_data/defocus_blur/train/labels/img_08a0672df7b40ecae342.txt,"{""defocus_radius_px"": 9, ""gaussian_sigma_px"": 7.404886027519174, ""motion_angle_deg"": 122.84501883307223, ""motion_length_px"": 21}"
gaussian_blur,train,img_08a0672df7b40ecae342,train/images/119-jpg_jpg.rf.boxcIZjUFEZgMY5GqNHS.jpg,detector_data/gaussian_blur/train/images/img_08a0672df7b40ecae342.png,detector_data/gaussian_blur/train/labels/img_08a0672df7b40ecae342.txt,"{""defocus_radius_px"": 9, ""gaussian_sigma_px"": 7.404886027519174, ""motion_angle_deg"": 122.84501883307223, ""motion_length_px"": 21}"
clean,train,img_451c43dce8699840b6d9,train/images/119_jpg.rf.6lHCVWvea4yDhrv27V6V.jpg,detector_data/clean/train/images/img_451c43dce8699840b6d9.png,detector_data/clean/train/labels/img_451c43dce8699840b6d9.txt,{}
motion_blur,train,img_451c43dce8699840b6d9,train/images/119_jpg.rf.6lHCVWvea4yDhrv27V6V.jpg,detector_data/motion_blur/train/images/img_451c43dce8699840b6d9.png,detector_data/motion_blur/train/labels/img_451c43dce8699840b6d9.txt,"{""defocus_radius_px"": 4, ""gaussian_sigma_px"": 4.511224496106073, ""motion_angle_deg"": 100.67701887082004, ""motion_length_px"": 19}"
defocus_blur,train,img_451c43dce8699840b6d9,train/images/119_jpg.rf.6lHCVWvea4yDhrv27V6V.jpg,detector_data/defocus_blur/train/images/img_451c43dce8699840b6d9.png,detector_data/defocus_blur/train/labels/img_451c43dce8699840b6d9.txt,"{""defocus_radius_px"": 4, ""gaussian_sigma_px"": 4.511224496106073, ""motion_angle_deg"": 100.67701887082004, ""motion_length_px"": 19}"
