source_image,split,reason,detail
train/images/20240218_171309_jpg.rf.KB3bu25rmzfHqC24cjMr.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.156381085317, max=1.04640424146); image excluded instead of clipping/distorting ground truth."
train/images/20240222_164404_jpg.rf.NEnu0BNuUgschVpMtSoD.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.293649765737, max=1.0245548318); image excluded instead of clipping/distorting ground truth."
train/images/20240228_162356_jpg.rf.HqwDs60mvBiLoiqTV6nM.jpg,train,out_of_range_obb,"Line 3: OBB coordinates materially outside [0,1] (min=-0.00610861141739, max=0.817505188776); image excluded instead of clipping/distorting ground truth."
train/images/20240307_145636_jpg.rf.goMgtmEoRNHoHT2R0pTv.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.0177727129657, max=1.05758134332); image excluded instead of clipping/distorting ground truth."
train/images/20240307_173734_jpg.rf.IhtcBMK0EFQzGeQwP3dQ.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=-0.0134139420352, max=0.328171538674); image excluded instead of clipping/distorting ground truth."
train/images/FB_IMG_1712174035833_jpg.rf.AbNCUs4QkxPxXR2iA64r.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.393857331948, max=1.02840425418); image excluded instead of clipping/distorting ground truth."
train/images/frames4051_png.rf.HtezFtf3Mou0bIwiNvJD.png,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=-0.0180149128067, max=0.360349184295); image excluded instead of clipping/distorting ground truth."
train/images/frames6356_png.rf.pDmF3veoytMuR9M2pVKV.png,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.526183540773, max=1.0102140917); image excluded instead of clipping/distorting ground truth."
train/images/IMG-20240214-WA0000_jpg.rf.L1UmRaJhQnMkg6hYwuG4.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.102461734064, max=1.02979163073); image excluded instead of clipping/distorting ground truth."
train/images/IMG-20240214-WA0034_jpg.rf.Juq1QpZWI2D26RneaMXr.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.147258971557, max=1.05696619196); image excluded instead of clipping/distorting ground truth."
train/images/IMG-20240215-WA0052_jpg.rf.4usSl7Lx0gf4usjbmbNO.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=-0.00357185800523, max=0.950458783604); image excluded instead of clipping/distorting ground truth."
train/images/IMG-20240215-WA0067_jpg.rf.TZWBswza1fCSknpMgOMr.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.249567272916, max=1.05124714262); image excluded instead of clipping/distorting ground truth."
train/images/IMG-20240215-WA0070_jpg.rf.cXDWPPKrLPIPwaUmbCIB.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=-0.0267888997315, max=1); image excluded instead of clipping/distorting ground truth."
train/images/IMG-20240216-WA0105_jpg.rf.GecsUUcPBeo3GnAQuw4s.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.297688200306, max=1.02682216563); image excluded instead of clipping/distorting ground truth."
train/images/IMG-20240216-WA0106_jpg.rf.yWLTp5Fyy1G9czQ7LnPg.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.440805428078, max=1.04201546738); image excluded instead of clipping/distorting ground truth."
train/images/IMG_20240211_144142_jpg.rf.rKjo17EXOBthyeyhyuXq.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.100019755886, max=1.006956717); image excluded instead of clipping/distorting ground truth."
train/images/IMG_20240211_145324_jpg.rf.Tt33xLJwKL3bpT1yQU2O.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=-0.102486602358, max=1.06124995752); image excluded instead of clipping/distorting ground truth."
train/images/IMG_20240211_151038_jpg.rf.8M0xB056N5BNbxLfDezk.jpg,train,out_of_range_obb,"Line 2: OBB coordinates materially outside [0,1] (min=-0.0558637134669, max=0.309736562592); image excluded instead of clipping/distorting ground truth."
train/images/IMG_20240211_152419_jpg.rf.ZBPhrpwVI1JYzxPnrzA6.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.195821738692, max=1.11309876032); image excluded instead of clipping/distorting ground truth."
train/images/IMG_20240211_152549_jpg.rf.Ogdij1EqDps2pxaGlUTr.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.0899150160314, max=1.00863159418); image excluded instead of clipping/distorting ground truth."
train/images/IMG_20240211_152659_jpg.rf.ZLaPb3d5WdyV73kzZWaI.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.363678505613, max=1.05482650252); image excluded instead of clipping/distorting ground truth."
train/images/IMG_20240211_161257_jpg.rf.lNj5hlPWNYg36UFtnex7.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.179017191985, max=1.02232839755); image excluded instead of clipping/distorting ground truth."
train/images/IMG_20240211_161947_jpg.rf.Y86mvEpS3JQyFtxvoFnA.jpg,train,out_of_range_obb,"Line 2: OBB coordinates materially outside [0,1] (min=0.238367857365, max=1.04363061378); image excluded instead of clipping/distorting ground truth."
train/images/IMG_20240211_162201_jpg.rf.p9DCetDbICou0iYiyRIF.jpg,train,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=-0.085245579165, max=0.831363703139); image excluded instead of clipping/distorting ground truth."
valid/images/20240211_154722_jpg.rf.5i8elIyRWIGNoy8RvH8R.jpg,val,out_of_range_obb,"Line 2: OBB coordinates materially outside [0,1] (min=0.183767159811, max=1.02778690237); image excluded instead of clipping/distorting ground truth."
valid/images/20240211_162303_jpg.rf.pObocQDkHdGQkvj22squ.jpg,val,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.0734207681846, max=1.07811232897); image excluded instead of clipping/distorting ground truth."
valid/images/20240211_162728(0)_jpg.rf.xCpHrIOD4zgg5iGOj5Cb.jpg,val,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.291657994634, max=1.00981673889); image excluded instead of clipping/distorting ground truth."
valid/images/20240214_135918_jpg.rf.cCPVBhyrWVUclsTa72rK.jpg,val,out_of_range_obb,"Line 2: OBB coordinates materially outside [0,1] (min=-0.0425073170056, max=0.609545767372); image excluded instead of clipping/distorting ground truth."
valid/images/20240214_215957_jpg.rf.VT2VA0M72kDuO1ZuS7f6.jpg,val,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.0137703651504, max=1.02660574044); image excluded instead of clipping/distorting ground truth."
valid/images/20240218_162105_jpg.rf.imbH9ilssS6wq2CL2cKV.jpg,val,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=-0.0733535157859, max=0.769627442594); image excluded instead of clipping/distorting ground truth."
valid/images/frames6421_png.rf.2TKaKdrVbNfrEGfogaj1.png,val,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.714629703098, max=1.07752097994); image excluded instead of clipping/distorting ground truth."
valid/images/IMG-20240214-WA0047_jpg.rf.O8tm1E4pNwklpmgJGZkT.jpg,val,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.285692124578, max=1.03254458155); image excluded instead of clipping/distorting ground truth."
valid/images/IMG-20240215-WA0008_jpg.rf.Iemy0C3ejXIw893Kqeys.jpg,val,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=-0.0520772656496, max=0.541022032998); image excluded instead of clipping/distorting ground truth."
valid/images/IMG-20240216-WA0022_jpg.rf.vQfFedbTsRzMFrCjY1Lp.jpg,val,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.455212976747, max=1.01675945708); image excluded instead of clipping/distorting ground truth."
valid/images/IMG-20240216-WA0096_jpg.rf.m97FaNDjl9wQk3r16Ize.jpg,val,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=-0.0355739089991, max=0.76009906998); image excluded instead of clipping/distorting ground truth."
valid/images/IMG-20240218-WA0232_jpg.rf.vOagWxB6brLxMCwOdwEE.jpg,val,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.513995647642, max=1.04061821861); image excluded instead of clipping/distorting ground truth."
valid/images/IMG-20240218-WA0238_jpg.rf.CYoVhZvyhfZ5JmfGZ3mS.jpg,val,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.123686923626, max=1.15000563546); image excluded instead of clipping/distorting ground truth."
valid/images/IMG_20240211_152331_jpg.rf.vvxUml562SNfxuuZTryN.jpg,val,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.00411643818187, max=1.07443538115); image excluded instead of clipping/distorting ground truth."
valid/images/IMG_20240211_161944_jpg.rf.WqjG2D17A8OvpAiwkUyk.jpg,val,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.455632721808, max=1.08031878017); image excluded instead of clipping/distorting ground truth."
test/images/20240211_145420_jpg.rf.ejVFt4dGDVXGfOEq52iD.jpg,test,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.244922224936, max=1.08770388898); image excluded instead of clipping/distorting ground truth."
test/images/20240211_152907_jpg.rf.rq8P9zvLfdt9vUY1Npxy.jpg,test,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.0319490197318, max=1.14924694644); image excluded instead of clipping/distorting ground truth."
test/images/20240211_164425_jpg.rf.XswEfgtQZFRYUZOgcUIF.jpg,test,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.230889696398, max=1.10146112113); image excluded instead of clipping/distorting ground truth."
test/images/20240214_215854_jpg.rf.WZp3jGtwbKlrbKXekc5l.jpg,test,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.0240191435354, max=1.09024795556); image excluded instead of clipping/distorting ground truth."
test/images/20240214_220122_jpg.rf.dywvsDLI7LUOLpVIgc2b.jpg,test,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=-0.122363924029, max=0.999452673749); image excluded instead of clipping/distorting ground truth."
test/images/20240227_115720_jpg.rf.6pac5a49FOwHDligkgUJ.jpg,test,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.231466500395, max=1.02071347334); image excluded instead of clipping/distorting ground truth."
test/images/20240307_145634_jpg.rf.OJjpZsOlLMXfYXMjKRnJ.jpg,test,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=-0.087511296026, max=0.697846219794); image excluded instead of clipping/distorting ground truth."
test/images/20240310_155102_jpg.rf.PHk1lP94Q1v1pfGE3F8K.jpg,test,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.486756397897, max=1.11448420195); image excluded instead of clipping/distorting ground truth."
test/images/Dipto_-291_jpg.rf.HGfpo163iW8GHEQXxegc.jpg,test,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.734971868172, max=1.00909424033); image excluded instead of clipping/distorting ground truth."
test/images/Example-of-Bangladeshi-license-plate-black-characters-and-white-background_png.rf.JH9YsXzaTC5DJUvGiS7P.png,test,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=-0.000244412170041, max=0.483489272886); image excluded instead of clipping/distorting ground truth."
test/images/images (1)_jpg.rf.vTwc0wMrcKoV3EwIyVl8.jpg,test,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=-0.000560235981807, max=0.982613638918); image excluded instead of clipping/distorting ground truth."
test/images/IMG-20240215-WA0075_jpg.rf.evk0L9sLTTs90pheZkwW.jpg,test,out_of_range_obb,"Line 2: OBB coordinates materially outside [0,1] (min=-0.0143727076955, max=0.889825201918); image excluded instead of clipping/distorting ground truth."
test/images/IMG_20240211_151303_jpg.rf.08cnmFgCuolf4nLrxNuE.jpg,test,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=-0.0643065996695, max=0.921882308995); image excluded instead of clipping/distorting ground truth."
test/images/IMG_20240211_151424_jpg.rf.mf6uGCxQAaOltqIrc9Cg.jpg,test,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=-0.0504654205519, max=0.812123798573); image excluded instead of clipping/distorting ground truth."
test/images/IMG_20240211_152418_jpg.rf.9Jya0iqVoEf8PI0ibXi6.jpg,test,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.403804595543, max=1.02917342479); image excluded instead of clipping/distorting ground truth."
test/images/IMG_20240211_152512_jpg.rf.FQWTsR9jIv8eDvluCKBl.jpg,test,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=0.204339378654, max=1.11758388583); image excluded instead of clipping/distorting ground truth."
test/images/IMG_20240211_162834_jpg.rf.b7em2dpI4HM9DEnUcjal.jpg,test,out_of_range_obb,"Line 1: OBB coordinates materially outside [0,1] (min=-0.000539959340074, max=0.966150108898); image excluded instead of clipping/distorting ground truth."
train/images/102_jpg.rf.3wx5Cmv1lxM1XIfBb0uT.jpg,train,cross_split_duplicate,"source_group=102_jpg; kept val by priority ('test', 'val', 'train')"
train/images/45_jpg.rf.CuyZwR80RoUpYIKYCLni.jpg,train,cross_split_duplicate,"source_group=45_jpg; kept test by priority ('test', 'val', 'train')"
train/images/46_jpg.rf.wGcF5Oz0sXVw6D3QmENo.jpg,train,cross_split_duplicate,"source_group=46_jpg; kept val by priority ('test', 'val', 'train')"
train/images/60_jpg.rf.Bp5HefAP1B6M0SVZAh02.jpg,train,cross_split_duplicate,"source_group=60_jpg; kept val by priority ('test', 'val', 'train')"
train/images/68_jpg.rf.B50uOlKMvonuomCIiQuP.jpg,train,cross_split_duplicate,"source_group=68_jpg; kept val by priority ('test', 'val', 'train')"
train/images/75_jpg.rf.Y1OukSUzCeJssXjYuwgv.jpg,train,cross_split_duplicate,"source_group=75_jpg; kept val by priority ('test', 'val', 'train')"
train/images/98_jpg.rf.5SY9QlD82zLJFQ6TnzlD.jpg,train,cross_split_duplicate,"source_group=98_jpg; kept val by priority ('test', 'val', 'train')"
valid/images/58_jpg.rf.goMDiZZ1PjfVoFc0PLWm.jpg,val,cross_split_duplicate,"source_group=58_jpg; kept test by priority ('test', 'val', 'train')"
valid/images/99_jpg.rf.WXvpaFWg3m0TTyHT0rxt.jpg,val,cross_split_duplicate,"source_group=99_jpg; kept test by priority ('test', 'val', 'train')"
